  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 381    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 382    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 383    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 384    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 385    5    0   85.71  85.71     6      7    7      1      5     5   100.00
 386    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 387    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 388    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 389    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 390    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 391    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 392    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 393    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 394    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 395    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 396    3    0   75.00  75.00     3      4    4      0      3     2    66.67
 397    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 398    3    0   75.00  75.00     3      4    4      0      3     2    66.67
 399    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 400    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 401    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 402    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 403    2    0   66.67  66.67     2      3    3      0      2     1    50.00
 404    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 405    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 406    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 407    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 408    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 409    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 410    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 411    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 412    5    0  100.00 100.00     6      6    6      0      5     5   100.00
 413    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 414    4    0   83.33  83.33     5      6    6      1      4     4   100.00
 415    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 416    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 417    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 418    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 419    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 420    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 421    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 422    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 423    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 424    4    0  100.00 100.00     5      5    5      0      4     3    75.00
 425    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 426    4    0  100.00 100.00     6      6    6      0      4     4   100.00
 427    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 428    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 429    3    0   75.00  75.00     3      4    4      0      3     1    33.33
 430    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 431    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 432    3    0  100.00 100.00     5      5    5      0      3     3   100.00
 433    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 434    6    0  100.00 100.00     7      7    7      0      6     6   100.00
 435    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 436    2    0  100.00 100.00     3      3    3      0      2     2   100.00
 437    2    0  100.00 100.00     3      3    3      0      2     2   100.00
